"Year","Route","Visit","Count"
1996,1,1,16
1996,1,2,16
1996,2,1,40
1996,2,2,1
1996,3,1,44
1996,3,2,49
1996,4,1,16
1996,4,2,0
1996,17,1,5
1996,17,2,6
1996,5,1,50
1996,5,2,51
1996,18,1,45
1996,18,2,33
1996,19,1,36
1996,19,2,39
1996,21,1,56
1996,21,2,37
1996,29,1,0
1996,29,2,0
1996,6,1,22
1996,6,2,20
1996,22,1,53
1996,22,2,0
1996,7,1,16
1996,7,2,19
1996,23,1,60
1996,23,2,0
1996,8,1,112
1996,8,2,121
1996,9,1,116
1996,9,2,90
1996,16,1,29
1996,16,2,34
1996,11,1,12
1996,11,2,10
1996,12,1,38
1996,12,2,26
1996,25,1,111
1996,25,2,115
1996,13,1,30
1996,13,2,38
1996,26,1,19
1996,26,2,0
1996,14,1,45
1996,14,2,65
1996,27,1,0
1996,27,2,30
1996,28,1,0
1996,28,2,4
1996,15,1,44
1996,15,2,0
1997,1,1,19
1997,1,2,41
1997,2,1,49
1997,2,2,8
1997,3,1,33
1997,3,2,92
1997,4,1,11
1997,4,2,11
1997,17,1,0
1997,17,2,0
1997,5,1,53
1997,5,2,32
1997,18,1,44
1997,18,2,41
1997,19,1,44
1997,19,2,47
1997,20,1,32
1997,20,2,57
1997,21,1,51
1997,21,2,14
1997,29,1,3
1997,29,2,3
1997,6,1,17
1997,6,2,15
1997,22,1,40
1997,22,2,0
1997,7,1,13
1997,7,2,13
1997,23,1,30
1997,23,2,0
1997,8,1,96
1997,8,2,120
1997,9,1,0
1997,9,2,63
1997,10,1,74
1997,10,2,0
1997,24,1,0
1997,24,2,0
1997,11,1,6
1997,11,2,6
1997,12,1,15
1997,12,2,29
1997,25,1,213
1997,25,2,224
1997,13,1,77
1997,13,2,81
1997,26,1,20
1997,26,2,22
1997,14,1,113
1997,14,2,114
1997,27,1,38
1997,27,2,33
1997,28,1,2
1997,28,2,3
1997,15,1,52
1997,15,2,57
1998,1,1,31
1998,1,2,44
1998,2,1,44
1998,2,2,26
1998,3,1,35
1998,3,2,88
1998,4,1,43
1998,4,2,44
1998,17,1,0
1998,17,2,0
1998,5,1,58
1998,5,2,51
1998,18,1,70
1998,18,2,63
1998,19,1,47
1998,19,2,57
1998,20,1,32
1998,20,2,54
1998,21,1,17
1998,21,2,17
1998,29,1,0
1998,29,2,0
1998,6,1,11
1998,6,2,23
1998,22,1,59
1998,22,2,0
1998,7,1,19
1998,7,2,16
1998,23,1,536
1998,23,2,90
1998,8,1,88
1998,8,2,133
1998,9,1,92
1998,9,2,100
1998,10,1,39
1998,10,2,42
1998,24,1,0
1998,24,2,0
1998,11,1,2
1998,11,2,3
1998,12,1,18
1998,12,2,13
1998,25,1,197
1998,25,2,180
1998,13,1,174
1998,13,2,150
1998,26,1,33
1998,26,2,37
1998,14,1,70
1998,14,2,82
1998,28,1,0
1998,28,2,0
1998,15,1,64
1998,15,2,54
1999,1,1,29
1999,1,2,26
1999,2,1,23
1999,2,2,34
1999,3,1,28
1999,3,2,114
1999,4,1,66
1999,4,2,34
1999,17,1,0
1999,17,2,0
1999,5,1,21
1999,5,2,23
1999,18,1,71
1999,18,2,69
1999,19,1,51
1999,19,2,64
1999,20,1,73
1999,20,2,11
1999,21,1,28
1999,21,2,0
1999,29,1,19
1999,29,2,5
1999,6,1,8
1999,6,2,24
1999,22,1,45
1999,22,2,0
1999,7,1,35
1999,7,2,23
1999,23,1,36
1999,23,2,36
1999,8,1,67
1999,8,2,131
1999,9,1,104
1999,9,2,51
1999,10,1,50
1999,10,2,53
1999,24,1,0
1999,24,2,0
1999,11,1,11
1999,11,2,17
1999,12,1,8
1999,12,2,18
1999,25,1,41
1999,25,2,70
1999,13,1,172
1999,13,2,0
1999,26,1,61
1999,26,2,58
1999,14,1,127
1999,14,2,155
1999,27,1,15
1999,27,2,17
1999,28,1,3
1999,28,2,4
1999,15,1,34
1999,15,2,52
2000,1,1,21
2000,1,2,23
2000,2,1,76
2000,2,2,11
2000,3,1,132
2000,3,2,114
2000,4,1,46
2000,4,2,44
2000,17,1,0
2000,17,2,0
2000,5,1,70
2000,5,2,77
2000,18,1,78
2000,18,2,52
2000,19,1,46
2000,19,2,50
2000,20,1,63
2000,20,2,69
2000,21,1,0
2000,21,2,23
2000,29,1,12
2000,29,2,4
2000,6,1,18
2000,6,2,21
2000,22,1,49
2000,22,2,0
2000,7,1,19
2000,7,2,19
2000,23,1,60
2000,23,2,72
2000,8,1,39
2000,8,2,158
2000,9,1,108
2000,9,2,85
2000,10,1,54
2000,10,2,60
2000,24,1,0
2000,24,2,0
2000,11,1,8
2000,11,2,10
2000,12,1,14
2000,12,2,15
2000,25,1,35
2000,25,2,53
2000,13,1,65
2000,13,2,0
2000,26,1,67
2000,26,2,78
2000,14,1,61
2000,14,2,54
2000,27,1,13
2000,27,2,0
2000,28,1,0
2000,28,2,0
2000,15,1,34
2000,15,2,44
2001,1,1,17
2001,1,2,7
2001,3,1,142
2001,3,2,140
2001,4,1,39
2001,4,2,31
2001,17,1,0
2001,17,2,0
2001,5,1,37
2001,5,2,28
2001,18,1,62
2001,18,2,52
2001,19,1,35
2001,19,2,40
2001,20,1,69
2001,20,2,72
2001,21,1,34
2001,21,2,0
2001,29,1,6
2001,29,2,3
2001,6,1,63
2001,6,2,53
2001,22,1,37
2001,22,2,0
2001,7,1,31
2001,7,2,31
2001,23,1,87
2001,23,2,71
2001,8,1,88
2001,8,2,113
2001,9,1,90
2001,9,2,40
2001,10,1,30
2001,10,2,39
2001,24,1,0
2001,24,2,0
2001,11,1,6
2001,11,2,26
2001,12,1,12
2001,12,2,7
2001,25,1,63
2001,25,2,50
2001,13,1,44
2001,13,2,52
2001,26,1,88
2001,26,2,80
2001,14,1,136
2001,14,2,129
2001,27,1,8
2001,27,2,0
2001,28,1,0
2001,28,2,0
2001,15,1,35
2001,15,2,36
2002,1,1,0
2002,1,2,10
2002,2,1,9
2002,2,2,25
2002,3,1,117
2002,3,2,161
2002,4,1,33
2002,4,2,27
2002,17,1,0
2002,17,2,0
2002,5,1,32
2002,5,2,31
2002,18,1,51
2002,18,2,42
2002,19,1,31
2002,19,2,36
2002,20,1,72
2002,20,2,0
2002,21,1,13
2002,21,2,16
2002,29,1,17
2002,29,2,12
2002,6,1,60
2002,6,2,48
2002,22,1,51
2002,22,2,0
2002,7,1,18
2002,7,2,12
2002,23,1,24
2002,23,2,35
2002,8,1,108
2002,8,2,0
2002,9,1,29
2002,9,2,64
2002,10,1,28
2002,10,2,37
