Year,Route,GRASS_3km,GRASS_5km,GRASS_10km,ED_3km,ED_5km,ED_10km,PDSI,TMAX,PCP,TMIN
1995,1,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,2,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,3,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,4,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,5,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,6,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,7,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,8,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,9,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,10,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,11,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,12,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,13,NA,NA,NA,NA,NA,NA,3.046666667,89.9,NA,NA
1995,14,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,15,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,16,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,17,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,18,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,19,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,20,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,21,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,22,NA,NA,NA,NA,NA,NA,2.946666667,90.4,NA,NA
1995,23,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,24,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,25,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,26,NA,NA,NA,NA,NA,NA,3.173333333,93.1,NA,NA
1995,27,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,28,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,29,NA,NA,NA,NA,NA,NA,3.756666667,91.2,NA,NA
1995,30,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1995,31,NA,NA,NA,NA,NA,NA,5.866666667,94,NA,NA
1995,32,NA,NA,NA,NA,NA,NA,5.866666667,94,NA,NA
1995,33,NA,NA,NA,NA,NA,NA,-0.063333333,92.5,NA,NA
1996,1,64.9955,61.5264,60.2056,74.0261,76.1959,74.7547,-1.936666667,89,0.89,18.4
1996,2,51.3019,56.4517,59.9014,73.7199,72.5935,72.4568,1.063333333,86.6,0.696666667,15.4
1996,3,87.6415,84.5643,80.3489,27.6997,31.9668,38.4419,-1.936666667,89,0.89,18.4
1996,4,87.8123,83.3036,81.7953,28.7133,31.6831,34.2695,1.063333333,86.6,0.696666667,15.4
1996,5,78.6736,68.7044,56.1598,49.3195,55.4302,57.3272,0.45,88.1,0.29,11.5
1996,6,69.7856,66.6179,64.7398,51.2274,50.9063,50.584,1.06,89.7,0.28,13.9
1996,7,92.6625,89.6163,85.6991,32.6145,37.1704,42.3145,-1.936666667,89,0.89,18.4
1996,8,83.7953,80.1366,81.7847,48.3568,54.6869,48.8461,1.063333333,86.6,0.696666667,15.4
1996,9,60.4711,53.1898,48.3663,59.6339,64.7864,60.8433,1.06,89.7,0.28,13.9
1996,10,43.246,32.8051,34.8173,42.2972,42.4707,46.0112,0.45,88.1,0.29,11.5
1996,11,77.8502,80.8095,81.0277,59.5545,53.9372,45.5443,1.063333333,86.6,0.696666667,15.4
1996,12,76.5926,67.5905,67.2667,61.5433,62.1688,65.6602,1.063333333,86.6,0.696666667,15.4
1996,13,74.5659,64.3165,61.2657,42.2784,37.9207,43.7634,1.583333333,85.8,0.566666667,12.2
1996,14,86.7964,85.059,85.5693,38.7805,42.1296,40.9369,1.063333333,86.6,0.696666667,15.4
1996,15,86.7927,85.318,80.8378,44.7183,48.2775,52.2895,-1.936666667,89,0.89,18.4
1996,16,58.563,58.2517,46.2409,51.9847,50.7874,52.5387,1.06,89.7,0.28,13.9
1996,17,78.773,73.1823,72.0222,62.7866,70.7097,70.6847,-1.936666667,89,0.89,18.4
1996,18,70.2914,63.4263,54.7576,51.9403,58.7503,58.124,0.45,88.1,0.29,11.5
1996,19,73.5677,68.2612,66.8066,65.1624,70.5714,70.2325,1.063333333,86.6,0.696666667,15.4
1996,20,93.9682,92.2189,86.4281,29.0887,32.5057,41.685,-1.936666667,89,0.89,18.4
1996,21,67.833,63.8083,51.753,51.8563,51.0794,59.2856,1.06,89.7,0.28,13.9
1996,22,70.5772,68.7878,68.9555,59.6656,62.9594,63.7751,1.063333333,86.6,0.696666667,15.4
1996,23,43.4033,42.3817,47.0989,45.0089,47.6807,45.33,1.06,89.7,0.28,13.9
1996,24,67.7614,62.1766,64.3358,64.8109,67.1341,66.9186,-1.936666667,89,0.89,18.4
1996,25,77.2942,78.7773,71.111,40.7038,40.7749,44.7553,0.45,88.1,0.29,11.5
1996,26,66.4305,65.0473,63.1527,51.0884,54.7402,51.069,1.06,89.7,0.28,13.9
1996,27,55.5901,52.0229,47.5246,61.5618,64.6176,68.7122,0.45,88.1,0.29,11.5
1996,28,63.2578,63.2834,65.0715,68.9139,68.5742,65.0913,-1.936666667,89,0.89,18.4
1996,29,86.1876,89.3207,89.2759,43.1612,36.662,36.0188,-1.936666667,89,0.89,18.4
1996,30,55.7536,52.2685,52.6425,53.393,50.2762,50.3749,0.45,88.1,0.29,11.5
1996,31,44.7356,39.6181,29.351,35.3029,34.347,28.6143,2.64,87.4,0.17,11.3
1996,32,57.5014,54.0024,48.8061,49.3562,53.0541,46.2249,2.64,87.4,0.17,11.3
1996,33,60.6562,63.8014,60.7169,48.8966,51.7261,53.0633,0.45,88.1,0.29,11.5
1997,1,64.9955,61.5264,60.2056,74.0261,76.1959,74.7547,2.323333333,88.6,1.703333333,19.3
1997,2,51.3019,56.4517,59.9014,73.7199,72.5935,72.4568,2.03,88.3,1.44,16
1997,3,87.6415,84.5643,80.3489,27.6997,31.9668,38.4419,2.323333333,88.6,1.703333333,19.3
1997,4,87.8123,83.3036,81.7953,28.7133,31.6831,34.2695,2.03,88.3,1.44,16
1997,5,78.6736,68.7044,56.1598,49.3195,55.4302,57.3272,1.086666667,91.2,0.563333333,13.1
1997,6,69.7856,66.6179,64.7398,51.2274,50.9063,50.584,2.28,91.1,0.703333333,16.2
1997,7,92.6625,89.6163,85.6991,32.6145,37.1704,42.3145,2.323333333,88.6,1.703333333,19.3
1997,8,83.7953,80.1366,81.7847,48.3568,54.6869,48.8461,2.03,88.3,1.44,16
1997,9,60.4711,53.1898,48.3663,59.6339,64.7864,60.8433,2.28,91.1,0.703333333,16.2
1997,10,43.246,32.8051,34.8173,42.2972,42.4707,46.0112,1.086666667,91.2,0.563333333,13.1
1997,11,77.8502,80.8095,81.0277,59.5545,53.9372,45.5443,2.03,88.3,1.44,16
1997,12,76.5926,67.5905,67.2667,61.5433,62.1688,65.6602,2.03,88.3,1.44,16
1997,13,74.5659,64.3165,61.2657,42.2784,37.9207,43.7634,1.386666667,89.5,1.006666667,13.2
1997,14,86.7964,85.059,85.5693,38.7805,42.1296,40.9369,2.03,88.3,1.44,16
1997,15,86.7927,85.318,80.8378,44.7183,48.2775,52.2895,2.323333333,88.6,1.703333333,19.3
1997,16,58.563,58.2517,46.2409,51.9847,50.7874,52.5387,2.28,91.1,0.703333333,16.2
1997,17,78.773,73.1823,72.0222,62.7866,70.7097,70.6847,2.323333333,88.6,1.703333333,19.3
1997,18,70.2914,63.4263,54.7576,51.9403,58.7503,58.124,1.086666667,91.2,0.563333333,13.1
1997,19,73.5677,68.2612,66.8066,65.1624,70.5714,70.2325,2.03,88.3,1.44,16
1997,20,93.9682,92.2189,86.4281,29.0887,32.5057,41.685,2.323333333,88.6,1.703333333,19.3
1997,21,67.833,63.8083,51.753,51.8563,51.0794,59.2856,2.28,91.1,0.703333333,16.2
1997,22,70.5772,68.7878,68.9555,59.6656,62.9594,63.7751,2.03,88.3,1.44,16
1997,23,43.4033,42.3817,47.0989,45.0089,47.6807,45.33,2.28,91.1,0.703333333,16.2
1997,24,67.7614,62.1766,64.3358,64.8109,67.1341,66.9186,2.323333333,88.6,1.703333333,19.3
1997,25,77.2942,78.7773,71.111,40.7038,40.7749,44.7553,1.086666667,91.2,0.563333333,13.1
1997,26,66.4305,65.0473,63.1527,51.0884,54.7402,51.069,2.28,91.1,0.703333333,16.2
1997,27,55.5901,52.0229,47.5246,61.5618,64.6176,68.7122,1.086666667,91.2,0.563333333,13.1
1997,28,63.2578,63.2834,65.0715,68.9139,68.5742,65.0913,2.323333333,88.6,1.703333333,19.3
1997,29,86.1876,89.3207,89.2759,43.1612,36.662,36.0188,2.323333333,88.6,1.703333333,19.3
1997,30,55.7536,52.2685,52.6425,53.393,50.2762,50.3749,1.086666667,91.2,0.563333333,13.1
1997,31,44.7356,39.6181,29.351,35.3029,34.347,28.6143,-0.933333333,91.5,0.41,13.5
1997,32,57.5014,54.0024,48.8061,49.3562,53.0541,46.2249,-0.933333333,91.5,0.41,13.5
1997,33,60.6562,63.8014,60.7169,48.8966,51.7261,53.0633,1.086666667,91.2,0.563333333,13.1
1998,1,64.9955,61.5264,60.2056,74.0261,76.1959,74.7547,-1.203333333,91.9,1.883333333,26.9
1998,2,51.3019,56.4517,59.9014,73.7199,72.5935,72.4568,0.996666667,88.7,1.443333333,24.4
