"Year","Route","Visit","Count"
1978,1,1,148
1978,2,1,0
1978,3,1,66
1978,4,1,74
1978,5,1,80
1978,5,2,110
1978,6,1,116
1978,6,2,59
1979,1,1,186
1979,3,1,71
1979,4,1,88
1979,4,2,87
1979,5,1,148
1979,6,1,186
1979,6,2,188
1979,7,1,120
1980,1,1,197
1980,2,1,11
1980,2,2,40
1980,3,1,43
1980,4,1,133
1980,4,2,118
1980,5,1,125
1980,6,1,257
1980,6,2,249
1980,7,1,115
1980,8,1,77
1981,1,1,313
1981,1,2,NA
1981,2,1,38
1981,2,2,117
1981,3,1,73
1981,4,1,173
1981,4,2,163
1981,5,1,102
1981,6,1,25
1981,6,2,68
1981,7,1,95
1981,8,1,92
1982,1,1,147
1982,2,2,82
1982,3,1,73
1982,4,1,118
1982,4,2,107
1982,5,1,85
1982,6,1,75
1982,6,2,100
1982,7,1,112
1982,8,1,57
1983,1,1,134
1983,2,1,0
1983,2,2,65
1983,3,1,58
1983,4,1,106
1983,4,2,102
1983,5,1,75
1983,6,1,94
1983,6,2,67
1983,7,1,129
1984,1,1,73
1984,2,1,59
1984,2,2,56
1984,4,1,82
1984,4,2,86
1984,5,1,35
1984,5,2,42
1984,6,1,11
1984,6,2,18
1984,7,1,79
1984,8,1,102
1985,1,1,71
1985,1,2,69
1985,2,1,80
1985,3,1,56
1985,4,1,59
1985,4,2,70
1985,5,1,28
1985,5,2,42
1985,6,1,9
1985,6,2,9
1985,7,1,90
1985,8,1,71
1986,1,1,85
1986,1,2,90
1986,2,1,77
1986,3,1,81
1986,3,2,31
1986,4,1,87
1986,5,1,25
1986,6,1,25
1986,6,2,14
1986,7,1,54
1986,7,2,43
1986,8,1,83
1987,1,1,27
1987,1,2,27
1987,2,1,111
1987,3,1,52
1987,3,2,48
1987,4,1,59
1987,5,1,16
1987,5,2,10
1987,6,2,21
1987,7,1,119
1987,8,1,103
1988,1,1,46
1988,1,2,60
1988,2,1,96
1988,3,1,39
1988,3,2,43
1988,4,1,88
1988,5,1,25
1988,5,2,28
1988,6,1,0
1988,6,2,0
1988,7,1,133
1988,8,1,94
1988,9,1,58
1988,9,2,38
1989,1,1,41
1989,1,2,56
1989,2,1,104
1989,3,1,12
1989,3,2,28
1989,4,1,69
1989,5,1,29
1989,5,2,27
1989,6,1,0
1989,6,2,0
1989,7,1,108
1989,8,1,105
1989,8,2,102
1989,9,1,2
1989,9,2,11
1990,1,1,79
1990,1,2,64
1990,2,1,22
1990,2,2,16
1990,3,1,15
1990,3,2,12
1990,4,1,56
1990,5,1,29
1990,5,2,37
1990,6,1,0
1990,6,2,0
1990,7,1,99
1990,8,1,51
1990,9,1,30
1991,1,1,66
1991,1,2,52
1991,2,1,40
1991,2,2,41
1991,3,1,10
1991,4,1,54
1991,4,2,63
1991,5,1,26
1991,5,2,32
1991,6,1,0
1991,6,2,0
1991,7,1,64
1991,8,1,58
1991,8,2,34
1991,9,1,38
1991,9,2,33
1991,10,1,29
1992,1,1,54
1992,1,2,44
1992,2,1,9
1992,2,2,10
1992,3,1,29
1992,3,2,33
1992,5,1,22
1992,5,2,23
1992,6,1,0
1992,7,1,46
1992,8,1,13
1992,8,2,32
1992,9,1,32
1992,9,2,27
1992,10,1,24
1993,1,1,17
1993,1,2,32
1993,2,1,27
1993,2,2,21
1993,3,1,6
1993,3,2,16
1993,4,1,61
1993,5,1,7
1993,7,1,61
1993,9,1,29
1993,9,2,25
1993,10,1,12
1994,1,1,51
1994,1,2,51
1994,2,1,29
1994,3,1,11
1994,3,2,13
1994,4,1,14
