Year,Route,GRASS_3km,GRASS_5km,GRASS_10km,ED_3km,ED_5km,ED_10km,PDSI,TMAX,PCP,TMIN
1977,1,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,2,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,3,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,4,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,5,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,6,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,7,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,8,NA,NA,NA,NA,NA,NA,0.87,95.9,NA,NA
1977,9,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,10,NA,NA,NA,NA,NA,NA,0.87,95.9,NA,NA
1977,11,NA,NA,NA,NA,NA,NA,0.87,95.9,NA,NA
1977,12,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,13,NA,NA,NA,NA,NA,NA,0.87,95.9,NA,NA
1977,14,NA,NA,NA,NA,NA,NA,-0.063333333,93.4,NA,NA
1977,15,NA,NA,NA,NA,NA,NA,-1.593333333,95.5,NA,NA
1977,16,NA,NA,NA,NA,NA,NA,-0.063333333,93.4,NA,NA
1977,17,NA,NA,NA,NA,NA,NA,-0.063333333,93.4,NA,NA
1978,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,-0.186666667,97.5,0.53,10.9
1978,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,-0.186666667,97.5,0.53,10.9
1978,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,-0.186666667,97.5,0.53,10.9
1978,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,-0.186666667,97.5,0.53,10.9
1978,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,-0.186666667,97.5,0.53,10.9
1978,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,-0.186666667,97.5,0.53,10.9
1978,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,-0.186666667,97.5,0.53,10.9
1978,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,-0.163333333,98.8,0.77,10.8
1978,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,-0.186666667,97.5,0.53,10.9
1978,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,-0.163333333,98.8,0.77,10.8
1978,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,-0.163333333,98.8,0.77,10.8
1978,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,-0.186666667,97.5,0.53,10.9
1978,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,-0.163333333,98.8,0.77,10.8
1978,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,-0.143333333,95.3,0.506666667,8.9
1978,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,-0.186666667,97.5,0.53,10.9
1978,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,-0.143333333,95.3,0.506666667,8.9
1978,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,-0.143333333,95.3,0.506666667,8.9
1979,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,1.773333333,92.1,0.443333333,6.9
1979,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,1.773333333,92.1,0.443333333,6.9
1979,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,1.773333333,92.1,0.443333333,6.9
1979,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,1.773333333,92.1,0.443333333,6.9
1979,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,1.773333333,92.1,0.443333333,6.9
1979,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,1.773333333,92.1,0.443333333,6.9
1979,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,1.773333333,92.1,0.443333333,6.9
1979,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,0.863333333,92,0.763333333,7.4
1979,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,1.773333333,92.1,0.443333333,6.9
1979,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,0.863333333,92,0.763333333,7.4
1979,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,0.863333333,92,0.763333333,7.4
1979,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,1.773333333,92.1,0.443333333,6.9
1979,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,0.863333333,92,0.763333333,7.4
1979,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,1.676666667,91.2,0.566666667,5.4
1979,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,1.773333333,92.1,0.443333333,6.9
1979,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,1.676666667,91.2,0.566666667,5.4
1979,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,1.676666667,91.2,0.566666667,5.4
1980,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,0.95,100.6,0.85,19.7
1980,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,0.95,100.6,0.85,19.7
1980,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,0.95,100.6,0.85,19.7
1980,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,0.95,100.6,0.85,19.7
1980,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,0.95,100.6,0.85,19.7
1980,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,0.95,100.6,0.85,19.7
1980,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,0.95,100.6,0.85,19.7
1980,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,-1.176666667,102.4,1.23,20
1980,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,0.95,100.6,0.85,19.7
1980,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,-1.176666667,102.4,1.23,20
1980,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,-1.176666667,102.4,1.23,20
1980,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,0.95,100.6,0.85,19.7
1980,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,-1.176666667,102.4,1.23,20
1980,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,2.736666667,98.8,0.88,17.2
1980,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,0.95,100.6,0.85,19.7
1980,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,2.736666667,98.8,0.88,17.2
1980,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,2.736666667,98.8,0.88,17.2
1981,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,-0.37,93,0.226666667,20.3
1981,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,-0.37,93,0.226666667,20.3
1981,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,-0.37,93,0.226666667,20.3
1981,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,-0.37,93,0.226666667,20.3
1981,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,-0.37,93,0.226666667,20.3
1981,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,-0.37,93,0.226666667,20.3
1981,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,-0.37,93,0.226666667,20.3
1981,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,0.293333333,93.3,0.576666667,21.1
1981,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,-0.37,93,0.226666667,20.3
1981,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,0.293333333,93.3,0.576666667,21.1
1981,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,0.293333333,93.3,0.576666667,21.1
1981,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,-0.37,93,0.226666667,20.3
1981,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,0.293333333,93.3,0.576666667,21.1
1981,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,-0.806666667,90.6,0.216666667,18.3
1981,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,-0.37,93,0.226666667,20.3
1981,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,-0.806666667,90.6,0.216666667,18.3
1981,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,-0.806666667,90.6,0.216666667,18.3
1982,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,0.27,92.7,0.37,14.3
1982,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,0.27,92.7,0.37,14.3
1982,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,0.27,92.7,0.37,14.3
1982,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,0.27,92.7,0.37,14.3
1982,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,0.27,92.7,0.37,14.3
1982,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,0.27,92.7,0.37,14.3
1982,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,0.27,92.7,0.37,14.3
1982,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,1.686666667,94,0.676666667,14.5
1982,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,0.27,92.7,0.37,14.3
1982,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,1.686666667,94,0.676666667,14.5
1982,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,1.686666667,94,0.676666667,14.5
1982,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,0.27,92.7,0.37,14.3
1982,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,1.686666667,94,0.676666667,14.5
1982,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,1.283333333,91,0.406666667,11.9
1982,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,0.27,92.7,0.37,14.3
1982,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,1.283333333,91,0.406666667,11.9
1982,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,1.283333333,91,0.406666667,11.9
1983,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,0.056666667,99,0.853333333,21.7
1983,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,0.056666667,99,0.853333333,21.7
1983,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,0.056666667,99,0.853333333,21.7
1983,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,0.056666667,99,0.853333333,21.7
1983,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,0.056666667,99,0.853333333,21.7
1983,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,0.056666667,99,0.853333333,21.7
1983,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,0.056666667,99,0.853333333,21.7
1983,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,0.336666667,99.1,1.226666667,22.8
1983,9,36.8899,32.6652,32.8432,33.1671,33.6306,36.0986,0.056666667,99,0.853333333,21.7
1983,10,75.7953,79.5054,79.1714,18.817,17.903,19.7728,0.336666667,99.1,1.226666667,22.8
1983,11,91.348,90.7795,90.0832,15.1753,16.019,16.0191,0.336666667,99.1,1.226666667,22.8
1983,12,59.397,53.3698,48.327,40.0153,44.4296,43.7288,0.056666667,99,0.853333333,21.7
1983,13,51.1849,47.4125,44.4619,28.6446,26.2301,26.2197,0.336666667,99.1,1.226666667,22.8
1983,14,56.4346,54.7938,56.4771,23.171,28.3556,28.998,-0.373333333,97.9,0.783333333,20.3
1983,15,62.1912,72.1277,62.6561,22.5521,19.9438,28.6818,0.056666667,99,0.853333333,21.7
1983,16,57.8096,54.9098,48.0598,25.5848,29.9337,34.2117,-0.373333333,97.9,0.783333333,20.3
1983,17,49.7729,48.187,42.896,22.3601,24.525,22.7693,-0.373333333,97.9,0.783333333,20.3
1984,1,68.2667,59.4092,60.6679,25.8439,28.7135,29.8593,0.976666667,94.3,0.493333333,10.3
1984,2,77.9606,75.9683,75.9795,22.1485,20.3278,20.457,0.976666667,94.3,0.493333333,10.3
1984,3,66.1766,64.2857,65.8346,33.5494,33.3008,32.7009,0.976666667,94.3,0.493333333,10.3
1984,4,75.6249,62.5468,52.8954,15.367,18.5031,18.9544,0.976666667,94.3,0.493333333,10.3
1984,5,62.1929,58.1833,59.8254,47.348,43.8393,40.0026,0.976666667,94.3,0.493333333,10.3
1984,6,62.513,64.8961,64.1066,34.3081,30.2463,27.0406,0.976666667,94.3,0.493333333,10.3
1984,7,73.7085,61.9028,47.4962,18.4182,19.5747,19.3524,0.976666667,94.3,0.493333333,10.3
1984,8,60.3411,47.6338,35.9037,25.2539,27.7388,29.7605,-1.263333333,96.2,0.63,9.7
