Year,Route,GRASS_3km,GRASS_5km,GRASS_10km,ED_3km,ED_5km,ED_10km,PDSI,TMAX,PCP,TMIN
1997,1,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,2,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
1997,3,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,4,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,5,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,6,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,7,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,8,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,9,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,10,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,11,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,12,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,13,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,14,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,15,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,16,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,17,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,18,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,19,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,20,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,21,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,22,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,23,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,24,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,25,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,26,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
1997,27,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,28,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,29,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,30,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
1997,31,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,32,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,33,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,34,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
1997,35,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,36,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,37,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,38,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,39,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,40,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,41,NA,NA,NA,NA,NA,NA,2.28,91.1,NA,NA
1997,42,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,43,NA,NA,NA,NA,NA,NA,2.303333333,92.7,NA,NA
1997,44,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
1997,45,NA,NA,NA,NA,NA,NA,2.323333333,88.6,NA,NA
1997,46,NA,NA,NA,NA,NA,NA,2.03,88.3,NA,NA
1997,47,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,48,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,49,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,50,NA,NA,NA,NA,NA,NA,4.043333333,91.4,NA,NA
1997,51,NA,NA,NA,NA,NA,NA,1.086666667,91.2,NA,NA
1997,52,NA,NA,NA,NA,NA,NA,1.386666667,89.5,NA,NA
