"Year","Route","Count"
1997,1,91
1997,2,101
1997,3,32
1997,4,134
1997,5,79
1997,6,0
1997,7,45
1997,8,91
1997,9,42
1997,10,167
1997,11,170
1997,12,141
1997,13,498
1997,14,114
1997,15,100
1997,16,87
1997,17,100
1997,18,90
1997,19,146
1997,21,104
1997,22,179
1997,23,37
1997,24,72
1997,25,108
1997,26,264
1997,27,13
1997,28,286
1997,29,71
1997,30,264
1997,31,312
1997,32,92
1997,33,269
1997,34,36
1997,35,42
1997,36,53
1997,37,174
1997,38,104
1997,39,42
1997,40,135
1997,41,116
1997,42,115
1997,43,61
1997,44,100
1997,45,226
1997,46,252
1997,47,93
1998,1,135
1998,2,47
1998,3,28
1998,5,122
1998,6,1
1998,7,71
1998,9,89
1998,10,220
1998,11,317
1998,12,132
1998,13,561
1998,14,481
1998,15,162
1998,16,48
1998,17,217
1998,18,130
1998,19,124
1998,20,31
1998,21,178
1998,22,256
1998,23,28
1998,24,74
1998,25,136
1998,26,136
1998,27,3
1998,28,373
1998,29,52
1998,30,361
1998,31,232
1998,32,163
1998,33,258
1998,34,98
1998,35,44
1998,36,135
1998,38,153
1998,40,200
1998,41,209
1998,42,61
1998,43,125
1998,44,93
1998,45,287
1998,46,148
1998,47,124
1998,48,117
1998,49,56
1998,50,118
1998,51,175
1998,52,46
1998,53,170
1998,54,135
1998,55,38
1999,2,38
1999,3,44
1999,4,162
1999,5,102
1999,6,0
1999,7,81
1999,8,36
1999,9,40
1999,10,243
1999,11,317
1999,12,179
1999,13,432
1999,14,305
1999,15,168
1999,16,58
1999,17,152
1999,18,64
1999,19,92
1999,20,82
1999,21,115
1999,22,235
1999,23,21
1999,26,341
1999,27,3
1999,28,344
1999,29,163
1999,30,188
1999,31,180
1999,32,176
1999,33,190
1999,34,57
1999,35,72
1999,37,173
1999,38,228
1999,40,283
1999,41,162
1999,42,105
1999,43,54
1999,44,113
1999,45,218
1999,46,114
1999,47,68
1999,48,116
1999,49,67
1999,50,97
1999,51,130
1999,52,68
1999,53,186
1999,54,95
1999,55,13
1999,56,46
1999,57,86
2000,1,157
2000,2,36
2000,3,19
2000,4,247
2000,5,55
2000,6,0
2000,7,66
2000,8,40
2000,9,126
2000,10,271
2000,11,382
2000,12,264
2000,13,591
2000,14,233
2000,15,190
2000,16,33
2000,17,197
2000,18,51
2000,19,157
2000,20,48
2000,21,169
2000,22,189
2000,23,22
2000,25,188
2000,26,323
2000,27,0
2000,28,343
2000,29,139
2000,30,283
2000,31,263
2000,32,97
2000,33,174
2000,34,54
2000,35,38
2000,36,179
2000,37,328
2000,38,388
2000,40,211
2000,41,180
2000,42,94
2000,43,67
2000,44,206
2000,45,389
2000,46,84
2000,47,251
2000,48,71
2000,49,54
2000,50,234
2000,51,152
2000,53,199
2000,54,120
2000,56,64
2000,58,127
2001,1,34
2001,2,22
2001,3,18
2001,4,135
2001,5,37
2001,7,74
2001,8,89
2001,9,53
2001,10,98
2001,11,392
2001,12,141
2001,13,201
2001,14,236
2001,15,128
2001,16,36
2001,17,98
2001,18,74
2001,19,73
2001,20,24
2001,21,198
2001,22,148
2001,24,46
2001,25,214
2001,26,141
2001,28,199
2001,29,106
2001,30,130
2001,31,128
2001,34,66
2001,35,32
2001,37,70
2001,38,174
2001,39,52
2001,40,134
2001,41,128
2001,42,66
2001,43,41
2001,44,192
2001,45,283
2001,46,61
2001,47,50
2001,48,57
2001,49,68
2001,50,65
2001,52,9
2001,53,58
2001,54,27
2001,55,4
2001,56,97
2001,57,13
2002,1,81
2002,2,42
2002,3,29
2002,4,142
2002,5,39
2002,6,0
2002,7,38
2002,8,95
2002,9,90
2002,10,96
2002,11,234
2002,12,163
2002,13,357
2002,14,131
2002,15,43
2002,16,23
2002,17,169
2002,18,61
2002,19,86
2002,20,42
2002,21,57
2002,22,172
2002,23,1
2002,26,308
2002,27,0
2002,28,269
2002,29,101
2002,30,116
2002,31,79
2002,32,69
2002,33,127
2002,34,65
2002,35,47
2002,36,138
2002,37,77
2002,38,165
2002,39,25
2002,40,148
2002,41,152
2002,42,94
2002,43,47
2002,44,146
2002,45,236
2002,46,122
2002,47,48
2002,48,118
2002,49,58
2002,50,44
2002,51,75
2002,52,21
2002,53,47
2002,54,24
2002,55,8
2002,56,157
2003,1,105
2003,2,33
2003,3,17
2003,4,93
2003,5,64
2003,7,80
2003,8,99
2003,9,42
2003,10,178
2003,11,244
2003,12,101
2003,13,446
2003,14,229
2003,15,126
2003,16,29
2003,17,50
2003,18,74
2003,19,233
2003,20,65
2003,21,66
2003,22,216
2003,25,118
2003,26,265
2003,28,202
2003,29,62
2003,30,201
2003,31,110
2003,33,314
2003,34,51
2003,35,63
2003,37,114
2003,38,181
2003,39,23
2003,40,84
2003,41,123
2003,42,94
2003,43,129
2003,44,118
2003,46,92
2003,47,36
2003,48,111
2003,49,51
2003,51,151
2003,52,15
2003,53,113
2003,54,77
2003,55,31
2003,56,129
2003,57,12
2003,58,52
2004,1,135
2004,2,34
2004,3,32
2004,4,177
2004,5,95
2004,6,0
2004,7,28
2004,8,72
2004,9,55
2004,10,171
2004,11,496
2004,12,214
2004,13,466
2004,14,447
2004,15,134
2004,16,38
2004,17,145
2004,18,70
2004,19,253
2004,20,98
2004,21,147
2004,22,305
2004,26,408
2004,27,0
2004,28,312
2004,29,71
2004,30,293
2004,32,181
2004,33,257
2004,34,63
2004,35,70
2004,36,142
2004,37,136
2004,38,162
2004,39,36
2004,40,111
2004,41,227
2004,42,189
2004,43,172
2004,44,185
2004,45,419
2004,46,84
2004,47,119
2004,48,167
2004,49,56
2004,50,257
2004,51,146
2004,52,17
2004,53,198
2004,55,9
2004,56,179
2005,1,172
2005,2,38
2005,3,36
2005,4,187
2005,5,137
2005,7,49
2005,8,95
2005,9,82
2005,10,253
2005,11,374
2005,12,199
2005,13,445
2005,14,394
2005,15,164
2005,16,37
2005,17,151
2005,18,90
2005,19,353
2005,20,101
2005,21,170
2005,22,389
2005,24,110
2005,26,335
2005,28,473
2005,29,187
2005,30,326
2005,31,65
2005,32,125
2005,33,268
2005,34,81
2005,35,68
2005,36,202
2005,38,292
2005,39,39
2005,40,333
2005,42,145
2005,43,121
2005,44,298
2005,45,337
2005,46,153
2005,47,45
2005,48,163
2005,49,73
2005,50,373
2005,51,204
2005,52,28
2005,53,278
2005,55,14
2005,56,246
2005,57,6
2006,1,139
2006,2,33
2006,3,36
2006,4,223
2006,5,82
2006,6,0
2006,7,123
2006,8,108
2006,9,55
2006,10,305
2006,11,485
2006,12,361
2006,13,555
2006,14,662
2006,15,361
2006,16,29
2006,17,366
2006,18,77
2006,19,255
2006,20,110
2006,21,110
2006,22,369
2006,23,9
2006,25,191
2006,26,461
2006,27,2
2006,28,343
2006,29,160
2006,30,375
2006,31,116
2006,32,154
2006,33,205
2006,34,73
2006,35,94
2006,36,184
2006,37,111
2006,38,399
2006,39,34
2006,40,154
2006,41,184
2006,42,243
2006,43,159
2006,44,523
2006,45,267
2006,46,174
2006,47,178
2006,48,206
2006,50,469
2006,51,251
2006,52,10
2006,53,208
2006,54,344
2006,55,3
2006,56,244
2006,59,111
2007,1,112
2007,2,28
2007,3,22
2007,4,122
2007,5,19
2007,7,42
2007,8,44
2007,9,66
2007,10,167
2007,11,453
2007,12,267
2007,13,639
2007,14,533
2007,15,257
2007,16,7
2007,17,130
2007,19,165
2007,20,59
2007,22,148
2007,23,8
2007,25,75
2007,26,416
2007,28,210
2007,30,157
2007,31,66
2007,32,80
2007,33,156
2007,34,50
2007,35,53
2007,36,135
2007,37,88
2007,39,13
2007,40,241
2007,41,454
2007,43,113
2007,44,463
2007,45,142
2007,46,112
2007,47,92
2007,48,86
2007,50,397
2007,51,86
2007,52,0
2007,53,123
2007,54,329
2007,55,1
2007,56,98
2007,59,47
2008,1,97
2008,2,9
2008,3,10
2008,4,180
2008,5,24
2008,6,0
2008,7,92
2008,8,108
2008,9,67
2008,10,209
2008,11,512
2008,12,400
2008,13,642
2008,15,422
2008,16,15
2008,17,144
2008,18,91
2008,19,171
2008,20,38
2008,21,79
2008,22,231
2008,23,9
2008,25,180
2008,26,536
2008,27,0
2008,28,339
2008,29,97
2008,30,423
2008,31,160
2008,33,210
2008,34,65
2008,35,53
2008,36,197
2008,37,164
2008,38,448
2008,40,175
2008,41,201
2008,42,133
2008,43,119
2008,44,508
2008,45,218
2008,46,108
2008,47,66
2008,48,122
2008,49,42
2008,50,594
2008,51,133
2008,53,378
2008,54,341
2008,56,165
2008,57,56
2008,59,82
2009,1,173
2009,2,7
2009,3,14
2009,4,231
2009,5,55
2009,7,62
2009,8,79
2009,9,140
2009,10,199
2009,11,479
2009,14,433
2009,15,279
2009,16,6
2009,17,44
2009,18,81
2009,19,211
2009,21,70
2009,22,232
2009,23,9
2009,25,263
2009,26,565
2009,28,222
2009,29,249
2009,30,337
2009,31,203
2009,33,170
2009,34,103
2009,35,46
2009,36,271
2009,39,33
2009,40,183
2009,42,115
2009,43,168
2009,44,311
2009,45,350
2009,46,136
2009,47,102
2009,48,116
2009,50,296
2009,51,91
2009,52,12
2009,53,525
2009,54,265
2009,55,17
2009,57,99
2009,59,76
2010,1,221
2010,2,20
2010,3,19
2010,4,193
2010,5,29
2010,6,0
2010,7,133
2010,8,157
2010,9,193
2010,10,313
2010,11,332
2010,12,441
2010,14,553
2010,15,366
2010,16,23
2010,17,212
2010,19,175
2010,20,47
2010,22,98
2010,23,19
2010,24,91
2010,25,263
2010,26,567
2010,27,0
2010,28,182
2010,29,183
2010,30,345
2010,31,144
2010,32,88
2010,33,94
2010,34,137
2010,35,52
2010,36,198
2010,37,208
2010,38,407
2010,39,26
2010,41,534
2010,43,120
2010,44,185
2010,45,333
2010,46,111
2010,47,76
2010,48,178
2010,49,65
2010,50,390
2010,51,103
2010,52,9
2010,53,509
2010,54,410
2010,55,13
2010,56,43
2010,59,74
2011,1,250
2011,2,10
2011,3,14
2011,4,142
2011,5,84
2011,7,143
2011,8,104
2011,9,327
2011,10,296
2011,11,461
2011,12,488
2011,13,805
2011,14,911
2011,15,431
2011,16,7
2011,17,197
2011,18,42
2011,19,102
2011,20,17
2011,21,134
2011,22,135
2011,23,8
2011,24,88
2011,25,351
2011,26,481
2011,28,262
2011,29,219
2011,30,435
2011,31,113
2011,32,70
2011,33,143
2011,34,112
2011,35,31
2011,36,240
2011,37,267
2011,38,224
2011,39,26
2011,40,51
2011,41,428
2011,42,121
2011,43,58
2011,44,277
2011,45,315
2011,46,108
2011,47,50
2011,48,167
2011,49,48
2011,50,508
2011,51,8
2011,52,6
2011,53,683
2011,54,596
2011,55,3
2011,56,42
2011,57,113
2011,58,264
2011,59,42
2011,60,515
2011,61,394
2011,62,164
2011,63,116
2012,1,144
2012,2,11
2012,3,16
2012,4,49
2012,5,18
2012,6,0
2012,7,66
2012,8,70
2012,9,204
2012,10,133
2012,11,205
2012,13,446
2012,14,96
2012,15,163
2012,16,12
2012,17,35
2012,18,54
2012,19,90
2012,20,55
2012,21,56
2012,22,74
2012,23,9
2012,24,10
2012,25,42
2012,26,336
2012,27,0
2012,28,158
2012,29,113
2012,30,141
2012,31,150
2012,32,18
2012,33,153
2012,34,79
2012,35,22
2012,36,111
2012,38,111
2012,39,19
2012,40,56
2012,42,116
2012,43,96
2012,44,61
2012,45,163
2012,46,95
2012,47,16
2012,48,111
2012,50,333
2012,51,76
2012,52,5
2012,53,244
2012,54,290
2012,55,2
2012,56,7
2012,57,36
2012,58,242
2012,59,39
2012,60,196
2012,61,257
2012,62,66
2012,63,76
2012,64,21
2012,65,75
2012,66,29
2013,1,102
2013,2,25
2013,3,12
2013,4,19
2013,5,12
2013,7,68
2013,8,57
2013,9,104
2013,10,51
2013,11,144
2013,13,263
2013,14,30
2013,15,103
2013,16,19
2013,17,17
2013,18,73
2013,19,35
2013,20,36
2013,21,58
2013,22,86
2013,23,8
2013,24,8
2013,25,16
2013,26,146
2013,28,73
2013,29,55
2013,30,24
2013,31,63
2013,32,15
2013,33,112
2013,34,75
2013,35,35
2013,36,111
2013,37,51
2013,38,52
2013,40,53
2013,41,199
2013,42,45
2013,43,51
2013,44,39
2013,45,28
2013,46,76
2013,47,27
2013,48,48
2013,49,4
2013,50,189
2013,51,151
2013,52,2
2013,53,336
2013,54,85
2013,55,1
2013,56,8
2013,57,19
2013,58,176
2013,59,12
2013,60,183
2013,61,28
2013,62,48
2013,63,33
2013,65,76
2013,66,52
2014,1,139
2014,2,13
2014,3,9
2014,4,12
2014,5,35
2014,6,0
2014,7,96
2014,8,38
2014,9,70
2014,10,34
2014,11,85
2014,12,71
2014,13,117
2014,14,54
2014,15,88
2014,16,9
2014,17,4
2014,18,69
2014,19,25
2014,20,41
2014,21,71
2014,22,138
2014,23,10
2014,24,4
2014,25,14
2014,26,140
2014,27,0
2014,28,140
2014,29,95
2014,30,70
2014,31,36
2014,32,58
2014,33,157
2014,34,81
2014,35,27
2014,36,59
2014,38,29
2014,39,12
2014,40,39
2014,41,65
2014,42,108
2014,43,113
2014,44,66
2014,45,27
2014,46,43
2014,47,14
2014,48,114
2014,49,30
2014,50,70
2014,51,143
2014,52,3
2014,53,113
2014,54,90
2014,55,1
2014,56,4
2014,57,23
2014,58,109
2014,59,26
2014,60,83
2014,61,45
2014,62,16
2014,63,80
2014,64,14
2014,65,109
2014,66,33
2015,1,189
2015,2,15
2015,3,18
2015,4,32
2015,5,41
2015,7,127
2015,8,60
2015,9,111
2015,10,125
2015,11,282
2015,13,241
2015,14,48
2015,15,117
2015,16,16
2015,18,61
2015,19,165
2015,20,27
2015,21,95
2015,22,152
2015,23,10
2015,24,4
2015,25,42
2015,26,87
2015,28,210
2015,29,110
2015,30,93
2015,31,55
2015,32,69
2015,33,185
2015,34,93
2015,35,23
2015,36,139
2015,37,294
2015,39,25
2015,40,118
2015,42,108
2015,43,212
2015,44,159
2015,45,93
2015,46,45
2015,47,53
2015,48,100
2015,49,44
2015,51,134
2015,52,3
2015,53,119
2015,54,195
2015,55,0
2015,56,13
2015,57,36
2015,58,104
2015,59,37
2015,61,47
2015,62,26
2015,63,122
2015,64,23
2015,65,236
2015,66,21
2016,1,150
2016,2,12
2016,3,16
2016,4,96
2016,5,12
2016,6,0
2016,7,61
2016,8,92
2016,9,132
2016,10,502
2016,11,363
2016,13,235
2016,14,195
2016,15,157
2016,16,8
2016,17,142
2016,18,59
2016,19,218
2016,20,22
2016,21,73
2016,22,130
2016,23,6
2016,24,16
2016,25,69
2016,26,242
2016,27,0
