Year,Route,GRASS_3km,GRASS_5km,GRASS_10km,ED_3km,ED_5km,ED_10km,PDSI2,TMAX2,PCP,TMIN
1996,1,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,2,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1996,3,NA,NA,NA,NA,NA,NA,-1.936666667,89,NA,NA
1996,4,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,5,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,6,NA,NA,NA,NA,NA,NA,1.063333333,86.6,NA,NA
1996,7,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,8,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,9,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,10,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,11,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,12,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,13,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,14,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,15,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,16,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1996,17,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,18,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,19,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,20,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1996,21,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,22,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,23,NA,NA,NA,NA,NA,NA,1.063333333,86.6,NA,NA
1996,24,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,25,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,26,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,27,NA,NA,NA,NA,NA,NA,1.063333333,86.6,NA,NA
1996,28,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,29,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,30,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,31,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,32,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,33,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,34,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,35,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1996,36,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,37,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,38,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,39,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,40,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,41,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,42,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,43,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,44,NA,NA,NA,NA,NA,NA,1.426666667,89.7,NA,NA
1996,45,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,46,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,47,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,48,NA,NA,NA,NA,NA,NA,0.45,88.1,NA,NA
1996,49,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,50,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,51,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,52,NA,NA,NA,NA,NA,NA,1.063333333,86.6,NA,NA
1996,53,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,54,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,55,NA,NA,NA,NA,NA,NA,1.063333333,86.6,NA,NA
1996,56,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,57,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,58,NA,NA,NA,NA,NA,NA,2.64,87.4,NA,NA
1996,59,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,60,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,61,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,62,NA,NA,NA,NA,NA,NA,1.876666667,88.7,NA,NA
1996,63,NA,NA,NA,NA,NA,NA,1.06,89.7,NA,NA
1996,64,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1996,65,NA,NA,NA,NA,NA,NA,-0.14,90.9,NA,NA
1996,66,NA,NA,NA,NA,NA,NA,1.583333333,85.8,NA,NA
1997,1,34.3929,34.5479,39.272,50.19,50.5629,52.9939,2.28,91.1,0.703333333,16.2
1997,2,53.5844,52.0029,48.5447,79.5229,80.5215,76.2418,1.386666667,89.5,1.006666667,13.2
1997,3,58.8371,61.4751,60.7858,71.4239,64.7189,59.9568,2.323333333,88.6,1.703333333,19.3
1997,4,45.8332,56.3525,62.9984,37.4812,36.5667,32.0646,2.303333333,92.7,0.366666667,17.2
1997,5,58.6173,58.1799,52.7773,60.1772,59.5825,56.9795,1.086666667,91.2,0.563333333,13.1
1997,6,65.7993,67.5382,68.8299,65.2422,65.2778,62.009,2.03,88.3,1.44,16
1997,7,25.8306,27.2593,28.1301,53.0869,55.2184,56.9401,4.043333333,91.4,0.923333333,19
1997,8,29.0994,30.603,35.0166,48.6047,48.605,44.8743,4.043333333,91.4,0.923333333,19
1997,9,40.4905,44.3197,43.1877,52.145,52.1823,52.0433,2.28,91.1,0.703333333,16.2
1997,10,15.4996,18.2848,22.2655,20.8678,20.443,21.1882,2.303333333,92.7,0.366666667,17.2
1997,11,22.0165,21.7179,24.7189,29.3867,30.5095,34.4732,2.303333333,92.7,0.366666667,17.2
1997,12,38.7529,40.8378,40.3303,31.3488,33.276,32.9695,0.853333333,91.6,0.38,14.5
1997,13,48.129,46.112,49.008,51.0419,50.0281,46.2181,-0.933333333,91.5,0.41,13.5
1997,14,24.3954,25.5271,19.9606,34.3686,32.9834,28.092,2.303333333,92.7,0.366666667,17.2
1997,15,49.1855,48.4104,55.9065,35.6397,40.5125,40.1008,2.303333333,92.7,0.366666667,17.2
1997,16,65.2914,64.2817,64.0489,67.529,69.2859,70.6789,1.386666667,89.5,1.006666667,13.2
1997,17,29.2991,34.7265,40.7056,32.5762,33.3921,28.7074,2.303333333,92.7,0.366666667,17.2
1997,18,43.1178,40.9488,41.4595,48.165,47.6319,47.8725,4.043333333,91.4,0.923333333,19
1997,19,40.1714,43.7266,49.1022,47.9324,47.5423,47.9977,2.28,91.1,0.703333333,16.2
1997,20,26.0788,25.8779,30.9637,64.2642,64.8816,66.1865,1.386666667,89.5,1.006666667,13.2
1997,21,30.1147,33.1211,36.5392,60.0556,59.6859,57.1975,2.28,91.1,0.703333333,16.2
1997,22,26.2395,32.0942,36.165,40.0258,42.7475,43.0598,1.086666667,91.2,0.563333333,13.1
1997,23,64.9754,65.507,68.2738,68.7091,68.7362,62.0181,2.03,88.3,1.44,16
1997,24,35.4074,36.4019,37.4868,36.9386,36.0174,35.2789,2.303333333,92.7,0.366666667,17.2
1997,25,45.8695,46.1552,47.2029,41.2436,41.7352,38.4682,0.853333333,91.6,0.38,14.5
1997,26,50.8311,48.9116,53.0577,51.55,50.3067,46.8922,-0.933333333,91.5,0.41,13.5
1997,27,63.2533,61.0891,63.3238,75.2915,75.3903,71.5569,2.03,88.3,1.44,16
1997,28,58.2231,59.2195,60.0904,55.1411,53.3707,51.7234,1.086666667,91.2,0.563333333,13.1
1997,29,55.5801,49.7011,45.8853,53.7599,52.9889,47.7281,1.086666667,91.2,0.563333333,13.1
1997,30,35.4917,31.4259,27.1829,45.098,43.2335,43.0255,4.043333333,91.4,0.923333333,19
1997,31,67.0179,62.8377,57.4151,55.6344,60.9482,58.279,1.086666667,91.2,0.563333333,13.1
1997,32,14.1504,19.4118,30.0524,28.2285,28.4671,32.7871,4.043333333,91.4,0.923333333,19
1997,33,26.5125,27.4601,24.8998,48.6011,49.7085,48.3723,1.086666667,91.2,0.563333333,13.1
1997,34,13.8338,19.3066,24.6054,35.7301,41.5276,45.9872,2.28,91.1,0.703333333,16.2
1997,35,60.5587,57.8985,54.6149,74.532,74.3872,73.0421,1.386666667,89.5,1.006666667,13.2
1997,36,46.6231,43.9304,46.0934,58.3678,59.5409,55.7444,1.086666667,91.2,0.563333333,13.1
1997,37,24.2816,22.7356,25.5274,44.1237,42.8793,44.4155,2.28,91.1,0.703333333,16.2
1997,38,18.6389,17.7206,20.7431,19.2249,18.7394,19.3306,0.853333333,91.6,0.38,14.5
1997,39,14.8026,16.5221,17.4518,42.9769,46.6129,50.4724,4.043333333,91.4,0.923333333,19
1997,40,20.5895,19.7612,22.2425,19.0271,18.1302,19.9122,2.303333333,92.7,0.366666667,17.2
1997,41,21.8727,25.6627,24.4695,26.8252,30.3079,31.6685,-0.933333333,91.5,0.41,13.5
1997,42,36.0992,36.7148,34.9351,54.3054,54.966,54.8688,1.086666667,91.2,0.563333333,13.1
1997,43,18.4352,24.9364,27.8292,38.7814,40.4964,44.5537,2.28,91.1,0.703333333,16.2
1997,44,22.6327,23.7671,27.8837,26.2532,29.0426,29.3652,2.303333333,92.7,0.366666667,17.2
